fold,selected_features,balanced_accuracy,accuracy
1,"['GRO', 'MCP-1', 'TNFa', 'WBC Day 0', 'RBC Day 0', 'HGB Day 0', 'HCT Day 0', '%LYM Day 0', '%MON Day 0', '%GRA Day 0']",0.5666666666666667,0.625
2,"['GRO', 'IL17A', 'MCP-1', 'RBC Day 0', 'HGB Day 0', 'HCT Day 0', 'PLT Day 0', '%LYM Day 0', '%MON Day 0', '%GRA Day 0']",0.5833333333333333,0.625
3,"['GRO', 'MDC', 'IL1Ra', 'MCP-1', 'RBC Day 0', 'HGB Day 0', 'PLT Day 0', '%LYM Day 0', '%MON Day 0', '%GRA Day 0']",0.4166666666666667,0.625
4,"['IFNg', 'GRO', 'IL17A', 'IL1Ra', 'IL1a', 'WBC Day 0', 'HCT Day 0', 'PLT Day 0', '%LYM Day 0', '%MON Day 0']",0.41666666666666663,0.375
5,"['Eotaxin', 'GRO', 'IL17A', 'IL-8', 'RBC Day 0', 'HGB Day 0', 'HCT Day 0', '%LYM Day 0', '%MON Day 0', '%GRA Day 0']",0.6666666666666667,0.75
