Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
Random Forest,0.9285714285714286,0.96,1.0,0.9473684210526315,0.8571428571428571,1.0,0.9230769230769231,0.972972972972973
Logistic Regression,0.9285714285714286,0.96,1.0,0.9473684210526315,0.8571428571428571,1.0,0.9230769230769231,0.972972972972973
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,0.9285714285714286,0.96,1.0,0.9473684210526315,0.8571428571428571,1.0,0.9230769230769231,0.972972972972973
Naive Bayes,0.9166666666666667,0.88,0.7,1.0,1.0,0.8333333333333334,0.8235294117647058,0.9090909090909091
