Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
Random Forest,0.6176470588235294,0.6176470588235294,0.6428571428571429,0.6,0.5294117647058824,0.7058823529411765,0.5806451612903226,0.6486486486486487
Logistic Regression,0.6176470588235294,0.6176470588235294,0.6428571428571429,0.6,0.5294117647058824,0.7058823529411765,0.5806451612903226,0.6486486486486487
SVM,0.6470588235294117,0.6470588235294118,0.6923076923076923,0.6190476190476191,0.5294117647058824,0.7647058823529411,0.6,0.6842105263157895
Decision Tree,0.5,0.5,0.5,0.5,0.5294117647058824,0.47058823529411764,0.5142857142857142,0.48484848484848486
Naive Bayes,0.5882352941176471,0.5882352941176471,0.6,0.5789473684210527,0.5294117647058824,0.6470588235294118,0.5625,0.6111111111111112
