Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
Random Forest,0.9302884615384616,0.9310344827586207,0.9230769230769231,0.9375,0.9230769230769231,0.9375,0.9230769230769231,0.9375
Logistic Regression,0.9302884615384616,0.9310344827586207,0.9230769230769231,0.9375,0.9230769230769231,0.9375,0.9230769230769231,0.9375
SVM,0.96875,0.9655172413793104,0.9285714285714286,1.0,1.0,0.9375,0.9629629629629629,0.967741935483871
Decision Tree,0.8918269230769231,0.896551724137931,0.9166666666666666,0.8823529411764706,0.8461538461538461,0.9375,0.88,0.9090909090909091
Naive Bayes,0.96875,0.9655172413793104,0.9285714285714286,1.0,1.0,0.9375,0.9629629629629629,0.967741935483871
