Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Precision_2,Recall_0,Recall_1,Recall_2,F1_0,F1_1,F1_2
Random Forest,0.4444444444444444,0.4444444444444444,0.18181818181818182,0.3333333333333333,0.36,0.3333333333333333,0.25,0.75,0.23529411764705885,0.28571428571428575,0.48648648648648657
Logistic Regression,0.4166666666666667,0.4166666666666667,0.2,0.2222222222222222,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.22222222222222224,0.26666666666666666,0.4444444444444444
SVM,0.4166666666666667,0.4166666666666667,0.15789473684210525,0.2,0.391304347826087,0.25,0.25,0.75,0.1935483870967742,0.22222222222222224,0.5142857142857143
Decision Tree,0.5,0.5,0.23809523809523808,0.29411764705882354,0.5,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.30303030303030304,0.3448275862068966,0.5714285714285715
Naive Bayes,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.42857142857142855,0.45454545454545453,0.4166666666666667,0.5,0.8333333333333334,0.3703703703703704,0.4615384615384615,0.5882352941176471
