Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Recall_0,Recall_1,F1_0,F1_1
Random Forest,0.8,0.8947368421052632,1.0,0.875,0.6,1.0,0.75,0.9333333333333333
Logistic Regression,0.7,0.8421052631578947,1.0,0.8235294117647058,0.4,1.0,0.5714285714285714,0.9032258064516129
SVM,0.9,0.9473684210526315,1.0,0.9333333333333333,0.8,1.0,0.8888888888888888,0.9655172413793104
Decision Tree,0.8642857142857143,0.8947368421052632,0.8,0.9285714285714286,0.8,0.9285714285714286,0.8,0.9285714285714286
Naive Bayes,0.8642857142857143,0.8947368421052632,0.8,0.9285714285714286,0.8,0.9285714285714286,0.8,0.9285714285714286
