Model,Balanced_Accuracy,Accuracy,Precision_0,Precision_1,Precision_2,Recall_0,Recall_1,Recall_2,F1_0,F1_1,F1_2
Random Forest,0.5277777777777778,0.5277777777777778,0.3333333333333333,0.2631578947368421,0.47368421052631576,0.4166666666666667,0.4166666666666667,0.75,0.3703703703703704,0.3225806451612903,0.5806451612903226
Logistic Regression,0.4166666666666667,0.4166666666666667,0.2,0.2727272727272727,0.3,0.25,0.5,0.5,0.22222222222222224,0.3529411764705882,0.37499999999999994
SVM,0.4444444444444445,0.4444444444444444,0.21739130434782608,0.2,0.391304347826087,0.4166666666666667,0.16666666666666666,0.75,0.2857142857142857,0.1818181818181818,0.5142857142857143
Decision Tree,0.3888888888888889,0.3888888888888889,0.16666666666666666,0.18518518518518517,0.3684210526315789,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.2564102564102564,0.4516129032258065
Naive Bayes,0.5555555555555555,0.5555555555555556,0.4,0.375,0.38461538461538464,0.3333333333333333,0.5,0.8333333333333334,0.3636363636363636,0.42857142857142855,0.5263157894736842
