Model,Balanced Accuracy
Random Forest,0.48067632850241543
Logistic Regression,0.6932367149758454
SVM,0.6932367149758454
Decision Tree,0.43719806763285024
KNN,0.5797101449275363
Naive Bayes,0.5700483091787439
