Model,Feature,Importance
Cytometry,Cluster6_Compressed,0.082
Cytometry,Cluster4_Compressed,0.0757
Cytometry,Cluster5_Compressed,0.0707
Cytometry,Cluster1_Compressed,0.0589
Cytometry,Cluster3_Compressed,0.0463
Cytometry,Cluster2_Compressed,0.041
Clonal Breadth,HepBTCRs,0.0995
Clonal Breadth,B0,0.058
Clonal Breadth,PSB0,0.0549
Clonal Breadth,PPnrB0,0.0424
RNA Data,cluster27_Compressed,0.7433
RNA Data,cluster7_Compressed,0.6515
RNA Data,cluster33_Compressed,0.5664
RNA Data,cluster32_Compressed,0.525
RNA Data,cluster30_Compressed,0.5041
RNA Data,cluster10_Compressed,0.442
RNA Data,cluster31_Compressed,0.4173
RNA Data,cluster29_Compressed,0.3894
RNA Data,cluster17_Compressed,0.3751
RNA Data,cluster23_Compressed,0.3512
