Model,Feature,Importance
Cytokines,HHV6.Status,0.0625
Cytokines,GCSF,0.0564
Cytokines,IL-8,0.0534
Cytokines,IL-9,0.0396
Cytokines,IL12-p40,0.0262
Cytokines,IL-13,0.0149
Cytokines,IL-2,0.0138
Cytokines,TNFb,0.0121
Cytokines,GM-CSF,0.0109
Cytokines,IL12-p70,0.0088
Cytometry,HGB Day 0,0.2384
Cytometry,%LYM Day 0,0.1367
Cytometry,HCT Day 0,0.1057
Cytometry,WBC Day 0,0.0843
Cytometry,%GRA Day 0,0.0665
Cytometry,PLT Day 0,0.0547
Cytometry,RBC Day 0,0.0
Cytometry,%MON Day 0,0.0
Clonal Breadth,fraction_sequences_ab,0.6147
Clonal Breadth,fraction_sequences_gd,0.337
Clonal Depth,uniqueMoleculeFraction_gd,0.6455
Clonal Depth,uniqueMoleculeFraction_ab,0.6031
RNA Data,M14.38.TBD_EXP0,0.0048
RNA Data,M15.68.TBD_EXP0,0.0043
RNA Data,M16.22.TBD_EXP7,0.0041
RNA Data,M16.88.Erythroid cells_EXP3,0.0037
RNA Data,M16.103.TBD_EXP3,0.0037
RNA Data,M15.26.Neutrophils_EXP0,0.0036
RNA Data,M15.46.TBD_EXP0,0.0036
RNA Data,M16.47.TNF_EXP7,0.0036
RNA Data,M9.2.Erythroid cells_EXP0,0.0035
RNA Data,M16.98.TBD_EXP7,0.0035
