fold,selected_features,balanced_accuracy,accuracy
1,"['EBV.Status', 'HHV6.Status', 'IL-5', 'IL-8', 'IP-10', 'WBC Day 0', '%MON Day 0', 'Age', 'Group_3_Compressed', 'Group_5_Compressed']",0.9,0.875
2,"['HHV6.Status', 'EGF', 'Eotaxin', 'GCSF', 'IL1a', 'MCP-1', '%LYM Day 0', '%MON Day 0', 'Group_3_Compressed', 'Group_5_Compressed']",0.4166666666666667,0.625
3,"['GCSF', 'MDC', 'IL1a', 'IL-8', 'MCP-1', 'MIP1a', '%LYM Day 0', '%MON Day 0', 'Group_1_Compressed', 'Group_3_Compressed']",0.5,0.75
4,"['CMV.Status', 'HHV6.Status', 'EGF', 'GRO', 'IL12-p40', 'MDC', 'IL1a', 'IL-8', 'Group_1_Compressed', 'Group_5_Compressed']",0.3333333333333333,0.25
5,"['CMV.Status', 'Eotaxin', 'GCSF', 'GRO', 'IL-8', '%LYM Day 0', '%MON Day 0', 'Age', 'Group_3_Compressed', 'Group_5_Compressed']",0.4166666666666667,0.625
